Date,RIC,Currency,Daily Total Return,Price Close,Volume
2018-01-08,USLM.OQ,USD,-1.64342629482071,14.9793954,19694
2018-01-09,ASTE.OQ,USD,-0.289528712,61.99,69593
2018-01-09,CARS.N,USD,-2.283390679,31.24,789833
2018-01-09,DAKT.OQ,USD,-0.315457413,9.48,35593
2018-01-09,NAT.N,USD,-1.945525292,2.52,273549
2018-01-09,USLM.OQ,USD,-1.10126582278481,14.814432438,49654
2018-01-10,ASTE.OQ,USD,-2.677851266,60.33,83623
2018-01-10,CARS.N,USD,-0.160051216,31.19,159931
2018-01-10,DAKT.OQ,USD,-1.687763713,9.32,27424
2018-01-10,NAT.N,USD,4.365079365,2.63,353840
2018-01-10,USLM.OQ,USD,-0.806348393702801,14.6949765,7264
2018-01-11,ASTE.OQ,USD,2.12166418,61.61,65194
2018-01-11,CARS.N,USD,0.160307791,31.24,247467
2018-01-11,DAKT.OQ,USD,0.858369099,9.4,29977
2018-01-11,NAT.N,USD,0.380228137,2.64,238666
2018-01-11,USLM.OQ,USD,0.141935483870976,14.715833886,4694
2018-01-12,ASTE.OQ,USD,4.349943191,64.29,57442
2018-01-12,CARS.N,USD,-2.1446863,30.57,395151
2018-01-12,DAKT.OQ,USD,-0.638297872,9.34,23720
2018-01-12,NAT.N,USD,-0.378787879,2.63,311437
2018-01-12,USLM.OQ,USD,-0.386548125241591,14.658950106,9144
2018-01-16,ASTE.OQ,USD,-1.384352154,63.4,53355
2018-01-16,CARS.N,USD,1.27576055,30.96,253984
2018-01-16,DAKT.OQ,USD,-1.391862955,9.21,34209
2018-01-16,NAT.N,USD,0.0,2.63,375513
2018-01-16,USLM.OQ,USD,-0.582072176949951,14.573624436,24019
2018-01-17,ASTE.OQ,USD,-0.441640379,63.12,33821
2018-01-17,CARS.N,USD,-0.581395349,30.78,141164
2018-01-17,DAKT.OQ,USD,1.845819761,9.38,62144
2018-01-17,NAT.N,USD,0.0,2.63,209152
2018-01-17,USLM.OQ,USD,1.39214155607599,14.776509918,22049
2018-01-18,ASTE.OQ,USD,-0.316856781,62.92,33983
2018-01-18,CARS.N,USD,-0.32488629,30.68,114099
2018-01-18,DAKT.OQ,USD,-1.066098081,9.28,54809
2018-01-18,NAT.N,USD,-0.760456274,2.61,171451
2018-01-18,USLM.OQ,USD,-0.551777235981016,14.6949765,11419
2018-01-19,ASTE.OQ,USD,2.129688493,64.26,42426
2018-01-19,CARS.N,USD,-0.717079531,30.46,268601
2018-01-19,DAKT.OQ,USD,2.801724138,9.54,64814
2018-01-19,NAT.N,USD,0.766283525,2.63,297202
2018-01-19,USLM.OQ,USD,-0.06451612903225,14.68549587,17449
2018-01-22,ASTE.OQ,USD,-1.867413632,63.06,44329
2018-01-22,CARS.N,USD,-0.984898227,30.16,1000526
2018-01-22,DAKT.OQ,USD,-0.524109015,9.49,71223
2018-01-22,NAT.N,USD,0.380228137,2.64,267202
2018-01-22,USLM.OQ,USD,-2.27243382827632,14.351777694,18059
2018-01-23,ASTE.OQ,USD,-0.079289565,63.01,35415
2018-01-23,CARS.N,USD,0.729442971,30.38,670009
2018-01-23,DAKT.OQ,USD,0.0,9.49,51822
2018-01-23,NAT.N,USD,-1.136363636,2.61,188460
2018-01-23,USLM.OQ,USD,1.05694279297133,14.503467774,23059
2018-01-24,ASTE.OQ,USD,0.0,63.01,38659
2018-01-24,CARS.N,USD,-2.435813035,29.64,452560
2018-01-24,DAKT.OQ,USD,-0.52687039,9.44,58337
2018-01-24,NAT.N,USD,-3.0651341,2.53,268432
2018-01-24,USLM.OQ,USD,-0.640606615243823,14.4105576,11684
2018-01-25,ASTE.OQ,USD,-0.063481987,62.97,37676
2018-01-25,CARS.N,USD,0.337381916,29.74,403563
2018-01-25,DAKT.OQ,USD,0.31779661,9.47,59926
2018-01-25,NAT.N,USD,-0.395256917,2.52,335371
2018-01-25,USLM.OQ,USD,1.18421052631581,14.58120894,15779
2018-01-26,ASTE.OQ,USD,0.49229792,63.28,23496
2018-01-26,CARS.N,USD,-0.033624748,29.73,201449
2018-01-26,DAKT.OQ,USD,-0.527983105,9.42,35556
2018-01-26,NAT.N,USD,-0.793650794,2.5,346954
2018-01-26,USLM.OQ,USD,-1.83355006501953,14.313855174,6569
2018-01-29,ASTE.OQ,USD,-0.379266751,63.04,39370
2018-01-29,CARS.N,USD,-0.235452405,29.66,158724
2018-01-29,DAKT.OQ,USD,-0.636942675,9.36,34937
2018-01-29,NAT.N,USD,-3.2,2.42,435030
2018-01-29,USLM.OQ,USD,0.675586170353691,14.4105576,19094
2018-01-30,ASTE.OQ,USD,0.0,63.04,56124
2018-01-30,CARS.N,USD,0.067430883,29.68,456179
2018-01-30,DAKT.OQ,USD,-1.175213675,9.25,37632
2018-01-30,NAT.N,USD,-3.719008264,2.33,378995
2018-01-30,USLM.OQ,USD,-0.644736842105251,14.317647426,8484
2018-01-31,ASTE.OQ,USD,-1.015228426,62.4,49184
2018-01-31,CARS.N,USD,0.033692722,29.69,475466
2018-01-31,DAKT.OQ,USD,0.108108108,9.26,59176
2018-01-31,NAT.N,USD,-0.858369099,2.31,578260
2018-01-31,USLM.OQ,USD,1.64216660045027,14.55276705,26739
2018-02-01,ASTE.OQ,USD,0.737179487,62.86,45600
2018-02-01,CARS.N,USD,-1.549343213,29.23,402777
2018-02-01,DAKT.OQ,USD,1.61987041,9.41,44788
2018-02-01,NAT.N,USD,-3.896103896,2.22,441854
2018-02-01,USLM.OQ,USD,0.716612377850155,14.65705398,49629
2018-02-02,ASTE.OQ,USD,-1.479478206,61.93,63092
2018-02-02,CARS.N,USD,-4.002736914,28.06,293501
2018-02-02,DAKT.OQ,USD,-0.318809777,9.38,67769
2018-02-02,NAT.N,USD,-5.405405405,2.1,460424
2018-02-02,USLM.OQ,USD,-2.65200517464424,14.26834815,32244
2018-02-05,ASTE.OQ,USD,-4.472791862,59.16,105694
2018-02-05,CARS.N,USD,-4.133998574,26.9,382288
2018-02-05,DAKT.OQ,USD,-3.731343284,9.03,61800
2018-02-05,NAT.N,USD,-5.238095238,1.99,537781
2018-02-05,USLM.OQ,USD,-0.691029900332216,14.169749598,36349
2018-02-06,ASTE.OQ,USD,0.067613252,59.2,87816
2018-02-06,CARS.N,USD,3.494423792,27.84,485348
2018-02-06,DAKT.OQ,USD,1.218161683,9.14,68014
2018-02-06,NAT.N,USD,9.045226131,2.17,420646
2018-02-06,USLM.OQ,USD,-0.976849993309252,14.0313324,18524
2018-02-07,ASTE.OQ,USD,0.067567568,59.24,64745
2018-02-07,CARS.N,USD,-0.790229885,27.62,183575
2018-02-07,DAKT.OQ,USD,1.750547046,9.3,79277
2018-02-07,NAT.N,USD,-5.529953917,2.05,249265
2018-02-07,USLM.OQ,USD,-0.594594594594591,13.947902856,36289
2018-02-08,ASTE.OQ,USD,-1.012829169,58.64,89431
2018-02-08,CARS.N,USD,-0.579290369,27.46,305710
2018-02-08,DAKT.OQ,USD,-1.612903226,9.15,85099
2018-02-08,NAT.N,USD,-3.414634146,1.98,261166
2018-02-08,USLM.OQ,USD,-1.16911364872214,13.78483602,22974
2018-02-09,ASTE.OQ,USD,1.261937244,59.38,61888
2018-02-09,CARS.N,USD,-0.873998543,27.22,193433
2018-02-09,DAKT.OQ,USD,1.530054645,9.29,78145
2018-02-09,NAT.N,USD,-0.505050505,1.97,372430
2018-02-09,USLM.OQ,USD,-0.646492434662997,13.695718098,28984
2018-02-12,ASTE.OQ,USD,0.690468171,59.79,74936
2018-02-12,CARS.N,USD,3.600293902,28.2,236985
2018-02-12,DAKT.OQ,USD,-0.107642626,9.28,60153
2018-02-12,NAT.N,USD,11.16751269,2.19,440822
2018-02-12,USLM.OQ,USD,0.40149522359129,13.750705752,34374
2018-02-13,ASTE.OQ,USD,-0.250878073,59.64,44187
2018-02-13,CARS.N,USD,0.992907801,28.48,247390
2018-02-13,DAKT.OQ,USD,1.185344828,9.39,75546
2018-02-13,NAT.N,USD,-2.283105023,2.14,508446
2018-02-13,USLM.OQ,USD,1.36514065085495,13.938422226,29414
2018-02-14,ASTE.OQ,USD,0.720992622,60.07,58429
2018-02-14,CARS.N,USD,0.070224719,28.5,526281
2018-02-14,DAKT.OQ,USD,0.0,9.39,65250
2018-02-14,NAT.N,USD,0.46728972,2.15,159108
2018-02-14,USLM.OQ,USD,-0.285675418310438,13.89860358,10269
2018-02-15,ASTE.OQ,USD,0.566006326,60.41,38128
2018-02-15,CARS.N,USD,1.543859649,28.94,368579
2018-02-15,DAKT.OQ,USD,0.106496273,9.4,64382
2018-02-15,NAT.N,USD,2.325581395,2.2,197927
2018-02-15,USLM.OQ,USD,2.48294679399727,14.243698512,19319
2018-02-16,ASTE.OQ,USD,1.986426088,61.61,72458
2018-02-16,CARS.N,USD,1.140290256,29.27,576674
2018-02-16,DAKT.OQ,USD,0.531914894,9.45,959547
2018-02-16,NAT.N,USD,-0.909090909,2.18,229425
2018-02-16,USLM.OQ,USD,1.57082002129924,14.46744138,23839
2018-02-20,ASTE.OQ,USD,-2.564518747,60.03,75166
2018-02-20,CARS.N,USD,0.409976085,29.39,290223
2018-02-20,DAKT.OQ,USD,-4.867724868,8.99,192067
2018-02-20,NAT.N,USD,0.917431193,2.17,181528
2018-02-20,USLM.OQ,USD,-1.70380078636958,14.220945,39439
2018-02-21,ASTE.OQ,USD,3.848075962,62.34,102537
2018-02-21,CARS.N,USD,0.068050357,29.41,166589
2018-02-21,DAKT.OQ,USD,0.556173526,9.04,87963
2018-02-21,NAT.N,USD,-0.460829493,2.16,219556
2018-02-21,USLM.OQ,USD,1.12,14.380219584,37739
2018-02-22,ASTE.OQ,USD,-0.160410651,62.24,60266
2018-02-22,CARS.N,USD,-0.748044883,29.19,1017409
2018-02-22,DAKT.OQ,USD,-0.110619469,9.03,71692
2018-02-22,NAT.N,USD,1.388888889,2.19,236323
2018-02-22,USLM.OQ,USD,-0.797732074464564,14.23990626,33729
2018-02-23,ASTE.OQ,USD,0.241002571,62.39,40513
2018-02-23,CARS.N,USD,0.274066461,29.27,178603
2018-02-23,DAKT.OQ,USD,0.221483942,9.05,48453
2018-02-23,NAT.N,USD,3.652968037,2.27,253376
2018-02-23,USLM.OQ,USD,-1.59786950732355,14.01237114,28754
2018-02-26,ASTE.OQ,USD,-1.041833627,61.74,39469
2018-02-26,CARS.N,USD,-0.683293475,29.07,396298
2018-02-26,DAKT.OQ,USD,0.331491713,9.08,48391
2018-02-26,NAT.N,USD,4.845814978,2.38,192591
2018-02-26,USLM.OQ,USD,-0.744248985115038,13.90808421,5029
