internal_code,currency,target_notional
EBS.N,USD,509.86
ECBK.OQ,USD,0.0
ECG.N,USD,0.0
ECL.N,USD,1586.18
ECPG.OQ,USD,0.0
ECVT.N,USD,913.86
ED.N,USD,3442.04
EDIT.OQ,USD,0.0
EE.N,USD,1266.74
EEFT.OQ,USD,-3937.89
EEX.N,USD,0.0
EFC.N,USD,1011.28
EFSC.OQ,USD,0.0
EFSI.OQ,USD,1624.99
EFX.N,USD,-1751.13
EG.N,USD,989.3
EGAN.OQ,USD,0.0
EGBN.OQ,USD,0.0
EGHT.OQ,USD,462.64
EGP.N,USD,2243.37
EGY.N,USD,302.1
EHAB.N,USD,0.0
EHC.N,USD,311.65
EHTH.OQ,USD,-331.79
EIG.N,USD,1326.17
EIX.N,USD,1993.28
EL.N,USD,-1485.21
ELA.A,USD,0.0
ELAN.N,USD,-463.72
ELDN.OQ,USD,0.0
ELF.N,USD,-1454.43
ELMD.A,USD,0.0
ELS.N,USD,2951.57
ELV.N,USD,120.73
ELVN.OQ,USD,1441.52
EMBC.OQ,USD,0.0
EME.N,USD,1111.62
EML.OQ,USD,0.0
EMN.N,USD,-941.27
EMR.N,USD,-78.2
ENOV.N,USD,-2109.56
ENPH.OQ,USD,-1512.34
ENR.N,USD,-1561.24
ENS.N,USD,948.62
ENSG.OQ,USD,1825.91
ENTA.OQ,USD,3742.89
ENTG.OQ,USD,-931.27
ENVA.N,USD,-2607.09
ENVX.OQ,USD,-1196.09
EOG.N,USD,1134.24
EOLS.OQ,USD,0.0
EOSE.OQ,USD,-733.14
EP.A,USD,0.0
EPAC.N,USD,-2307.94
EPAM.N,USD,-1572.33
EPC.N,USD,231.99
EPM.A,USD,263.38
EPR.N,USD,1218.55
EPRT.N,USD,3246.13
EPSN.OQ,USD,259.23
EQBK.N,USD,0.0
EQH.N,USD,-2859.56
EQIX.OQ,USD,4903.78
EQR.N,USD,888.72
