index,Instrument,Company Common Name,Company Market Cap,TRBC Economic Sector Name,Book Value Per Share,Enterprise Value To EBITDA (Daily Time Series Ratio),Revenue,Net Income Incl Extra Before Distributions,Free Cash Flow,Dividend yield
25,VISN.OQ,Vistance Networks Inc,4253735174.4,Technology,-10.3955223881,10.3592859250622,4205800000,-315500000,-205200000.0,
26,ATLC.OQ,Atlanticus Holdings Corp,785391161.1,Financials,39.5244100895,40.0581114937803,577973000,111296000,63835000.0,
27,JBSS.OQ,John B Sanfilippo & Son Inc,936347217.2,Consumer Non-Cyclicals,30.9464793904,7.57017827213589,1107246000,58934000,10748000.0,1.12331502745881
28,SMBK.N,SmartFinancial Inc,706205775.99,Financials,32.9208142073,4.498438985938,,50347000,,0.771642150952496
29,TTGT.OQ,TechTarget Inc,362232688.12,Technology,35.6794930318,5.59862950940101,284897000,-116863000,-73398000.0,
30,FA.OQ,First Advantage Corp,1652350951.42,Industrials,8.7967383448,9.41899536962755,860205000,-110273000,3126000.0,
31,PAYX.OQ,Paychex Inc,33879347931.0,Industrials,11.4602998334,13.5915405931617,5571700000,1657300000,196700000.0,4.5772409408773
32,AXP.N,American Express Co,231732226687.5,Financials,48.164028777,25.4130846264553,77654000000,10833000000,7856000000.0,0.971851851851852
33,MTRX.OQ,Matrix Service Co,322351521.3,Industrials,5.1394000504,,769286000,-29462000,-27147000.0,
34,SIG.N,Signet Jewelers Ltd,3665261379.78,Consumer Cyclicals,41.9909297052,4.94816295944036,6703800000,61200000,-107500000.0,1.42080142080142
35,ACGL.OQ,Arch Capital Group Ltd,35318420000.0,Financials,65.7057546145,4.78519893899204,,4399000000,4281000000.0,
36,ANAB.OQ,AnaptysBio Inc,1469703987.6,Healthcare,2.4969346769,,91280000,-145231000,-144983000.0,
37,TRNS.OQ,Transcat Inc,707053223.82,Industrials,31.2335329341,19.1680517169645,278421000,14515000,19885000.0,
38,MIR.N,Mirion Technologies Inc,5560864277.28,Industrials,8.1162294148,32.1520817953769,925400000,28800000,131400000.0,
39,LCID.OQ,Lucid Group Inc,3332451737.96,Consumer Cyclicals,21.1545219742,,807832000,-2713942000,-3650056000.0,
40,EGP.N,Eastgroup Properties Inc,10182566609.52,Real Estate,66.3126339548,23.4671544830468,721336000,257402000,-369180000.0,3.09029960192751
41,AVNS.N,Avanos Medical Inc,691641714.3,Healthcare,18.0108695652,8.28308597597255,687800000,-392100000,-358600000.0,
42,MTUS.N,Metallus Inc,862130035.8,Basic Materials,15.9837962963,10.5279440470958,1084000000,1300000,-8900000.0,
43,ABT.N,Abbott Laboratories,195936090987.96,Healthcare,,17.7962977904558,44328000000,6524000000,,2.23642172523962
44,MMM.N,3M Co,90497594000.0,Consumer Non-Cyclicals,8.7495347972,12.8893654203129,24948000000,3250000000,2046000000.0,1.81585380048888
45,HWKN.OQ,Hawkins Inc,3064455854.73,Basic Materials,22.1253064935,19.304982667508,974431000,84345000,68614000.0,0.518382102175841
46,RMBI.OQ,Richmond Mutual Bancorporation Inc,149744260.0,Financials,,7.45507393459806,,11577000,,4.20757363253857
47,GAMB.OQ,Gambling.com Group Ltd,149107639.04,Consumer Cyclicals,3.4186487696,11.4964323087691,127182000,30679000,14081000.0,
48,SCHW.N,Charles Schwab Corp,166534514084.4,Financials,,31.8553041852307,27675000000,8852000000,,1.36577037985489
49,CLSK.OQ,CleanSpark Inc,2519166193.05,Technology,7.7082196363,13.1153264971536,766314000,364464000,532659000.0,
0,RZLV.OQ,Rezolve AI PLC,760300302.58,Technology,-0.2333151884,,187790,-172646790,-175950170.0,
1,DCH.N,Dauch Corp,,Consumer Cyclicals,,,5836700000,,,
2,IOSP.OQ,Innospec Inc,2145243049.56,Basic Materials,48.5801379753,8.63334733498623,1845400000,35600000,-21900000.0,1.97505197505198
3,TMHC.N,Taylor Morrison Home Corp,6729346047.82,Consumer Cyclicals,63.6858048431,7.06699738419784,8121480000,782500000,,
4,EPRT.N,Essential Properties Realty Trust Inc,6735043359.62,Real Estate,21.4229402477,17.9345704425086,561219000,253013000,-1029774000.0,3.75506388282954
5,BSY.OQ,Bentley Systems Inc,10351296018.8,Technology,3.3059105528,27.217695232926,1353095000,234787000,212776000.0,0.821114369501466
6,RBBN.OQ,Ribbon Communications Inc,369093143.1,Technology,2.5482210455,7.33922537515897,844556000,39636000,75215000.0,
7,MBX.OQ,MBX Biosciences Inc,1710328683.18,Healthcare,24.1889701633,,,-61922000,-62552000.0,
8,ALNT.OQ,Allient Inc,1129453510.02,Industrials,16.0235948938,18.6867122391152,529968000,13166000,27193000.0,0.18001800180018
9,HLIO.N,Helios Technologies Inc,2506170571.1,Industrials,26.0361445783,20.0725214762238,805900000,39000000,58900000.0,0.475875743555849
10,COLM.OQ,Columbia Sportswear Co,3410627974.68,Consumer Cyclicals,31.2766194813,8.9452596498153,3397351000,177224000,102363000.0,1.89603412861432
11,PLOW.N,Douglas Dynamics Inc,973477095.5,Industrials,11.4512683445,13.9360855952254,568504000,56151000,38754000.0,2.79289940828402
12,PLUS.OQ,ePlus inc,2213808016.68,Technology,36.8872580463,9.74775876737797,2068789000,107978000,130971000.0,1.19217930376729
13,PPTA.OQ,Perpetua Resources Corp,3601911466.63729,Basic Materials,1.6589399942,,,-14483000,-17040070.0,
14,VREX.OQ,Varex Imaging Corp,566488000.0,Healthcare,11.4154589372,8.52045267489713,844600000,-70300000,-65600000.0,
15,HOLX.OQ,Hologic Inc,16752297671.2,Healthcare,22.3204336829,12.3217444040228,4100500000,565700000,713100000.0,
16,CRS.N,Carpenter Technology Corp,18917730516.6,Basic Materials,37.5896414343,26.1518835424484,2877100000,376000000,320600000.0,0.210637177461822
17,CC.N,Chemours Co,3075782855.04,Basic Materials,4.0402834995,8.72662645783642,5782000000,86000000,-111000000.0,1.7056530214425
18,VOYG.N,Voyager Technologies Inc,1550624217.24,Industrials,0.4226793629,,144180000,-62072000,-156552000.0,
19,SKT.N,Tanger Inc,3893020335.28,Real Estate,5.9706396493,17.6728419425854,526063000,98595000,-74254000.0,3.45949142519219
20,LVS.N,Las Vegas Sands Corp,38399697819.45,Consumer Cyclicals,2.3010130246,11.0068833484148,13017000000,1627000000,1330000000.0,2.0997375328084
21,CXW.N,CoreCivic Inc,1892964920.0,Industrials,13.1297324065,8.36852554728323,2211182000,116503000,,
22,PSTG.N,Pure Storage Inc,24383176278.65,Technology,4.0103722212,109.516334564775,3168164000,106739000,10212000.0,
23,BOW.N,Bowhead Specialty Holdings Inc,788758354.44,Financials,12.6598319072,4.97753722762269,,38243000,38999000.0,
