Date,RIC,Price Target - Mean,Recommendation - Mean (1-5),Revenue - Mean
2022-04-21,NSISb.CO,450.78947,,2196272630
2022-04-21,OREP.PA,393.8,,36376728000
2022-04-21,REP.MC,14.82808,,62172362430
2022-04-21,RR.L,,,11928822000
2022-04-21,SAMPO.HE,,2.36842,
2022-04-21,SASY.PA,110.73077,,41158200780
2022-04-21,SSE.L,,2.25,8479857930
2022-04-21,TKAG.DE,12.69667,,36440912060
2022-04-21,VOWG_p.DE,237.26087,2.1,265418899790
2022-04-22,ANTO.L,1613.33773,,6645833670
2022-04-22,BAWG.VI,,,1270580000
2022-04-22,BKGH.L,5169.43266,2.35,
2022-04-22,EDP.LS,,,15457739560
2022-04-22,EQNR.OL,,,125105892810
2022-04-22,GALP.LS,,,21533052390
2022-04-22,GBLB.BR,,,7740457000
2022-04-22,GFCP.PA,133.1125,,626874150
2022-04-22,ICAG.L,178.66354,,20175959650
2022-04-22,INPST.AS,10.58182,,6715676900
2022-04-22,LHAG.DE,,,27856642460
2022-04-22,MBGn.DE,89.25,,140966795670
2022-04-22,NG.L,,,15661888470
2022-04-22,NSISb.CO,451.21053,,2196277090
2022-04-22,OREP.PA,,,36412612620
2022-04-22,REP.MC,14.86269,,62874231290
2022-04-22,SAMPO.HE,9.67059,,
2022-04-22,SASY.PA,,,41163281930
2022-04-22,SDR.L,,,2532960860
2022-04-22,TUI1n.DE,13.9316,3.5,14909761920
2022-04-22,VOWG_p.DE,,,265233721210
2022-04-22,BKGH.L,,2.35,
2022-04-22,ICAG.L,178.66354,,
2022-04-22,INPST.AS,10.58182,,
2022-04-22,MBGn.DE,89.25,,
2022-04-22,REP.MC,14.86269,,
2022-04-22,TUI1n.DE,,3.5,
2022-04-23,INWT.MI,,,857027750
2022-04-23,RAND.AS,63.34375,,
2022-04-24,MBGn.DE,,,140822379390
2022-04-24,REP.MC,,2.13333,62874231290
2022-04-24,REP.MC,,2.13333,
2022-04-25,NG.L,,2.5625,
2022-04-25,DANSKE.CO,,2.66667,
2022-04-25,NG.L,,2.5625,16262293270
2022-04-25,DANSKE.CO,139.85714,2.66667,
2022-04-25,NG.L,,2.5625,15699488470
2022-04-25,SASY.PA,110.88462,,
2022-04-25,ANTO.L,1612.67106,,6700571500
2022-04-25,DANSKE.CO,139.85714,2.66667,42866649530
2022-04-25,EDP.LS,5.64579,,15291427060
2022-04-25,EQNR.OL,,,128255152330
2022-04-25,GBLB.BR,,1.5,
2022-04-25,INDUc.ST,,2.2,
2022-04-25,INPST.AS,,,6710476900
2022-04-25,INWT.MI,12.1875,,
2022-04-25,NG.L,1047.50716,2.5625,15699488470
2022-04-25,NSISb.CO,449.89474,,2199308000
2022-04-25,OREP.PA,,,36411189540
2022-04-25,SASY.PA,110.88462,,41156467110
2022-04-25,SSE.L,1862.0625,,8481057930
2022-04-26,ANTO.L,1617.33773,2.88889,6743790250
2022-04-26,BAWG.VI,65.8125,,1279452860
2022-04-26,BKGH.L,5161.65983,,
2022-04-26,DANSKE.CO,,,42843391630
2022-04-26,EQNR.OL,311.60212,,130401019000
2022-04-26,GALP.LS,,2.30435,
2022-04-26,HLMA.L,2843.0,,
2022-04-26,ICAG.L,,,20296921190
2022-04-26,INDUc.ST,311.5315,,
2022-04-26,LGEN.L,,2.31579,12599395000
2022-04-26,MBGn.DE,88.91667,,140294530250
2022-04-26,NSISb.CO,451.47368,,2201694260
2022-04-26,OREP.PA,393.8,,
2022-04-26,RAND.AS,63.53125,2.89474,26880472720
2022-04-26,SDR.L,,,2527600140
2022-04-26,SSE.L,1877.0625,,8483591270
2022-04-26,SUBC.OL,,,4885559280
2022-04-26,TKAG.DE,12.63,,
2022-04-26,ULVR.L,4558.9375,,
2022-04-26,VOWG_p.DE,235.78261,,265421951570
2022-04-26,WALLb.ST,68.0,,2529714290
2022-04-26,ANTO.L,,2.88889,
2022-04-26,ANTO.L,1617.33773,2.88889,
2022-04-26,BAWG.VI,65.8125,,
2022-04-26,EQNR.OL,311.60212,,
2022-04-26,LGEN.L,,,12599395000
2022-04-26,RAND.AS,,2.89474,
2022-04-27,BAWG.VI,,,1281321570
