Date,RIC,Currency,Price to Earning
2026-04-01,RENA.PA,EUR,
2026-04-01,REY.MI,EUR,12.1690833961104
2026-04-01,SABE.MC,EUR,13.0875151718076
2026-04-01,SAND.ST,SEK,31.7644475694388
2026-04-01,SAVE.ST,SEK,26.2985991003645
2026-04-01,SIKA.S,CHF,20.3290163647044
2026-04-01,SKAb.ST,SEK,17.6700002178792
2026-04-01,SOPR.PA,EUR,8.11629395501065
2026-04-01,SPX.L,GBp,31.6848426440706
2026-04-01,SUN.S,CHF,19.789973936581
2026-04-01,UNPI.MI,EUR,9.98572776312925
2026-04-01,VACN.S,CHF,69.3884521489843
2026-04-01,VNAn.DE,EUR,5.17177002089581
2026-04-01,WIHL.ST,SEK,12.158593480612
2026-04-01,ZALG.DE,EUR,26.3595522351014
2026-04-02,ABNd.AS,EUR,11.3986382013487
2026-04-02,ACLN.S,CHF,37.5710008164462
2026-04-02,AIRP.PA,EUR,29.5975668740726
2026-04-02,AKZO.AS,EUR,13.4819480398138
2026-04-02,ALEP.WA,PLN,16.4414901839542
2026-04-02,ANA.MC,EUR,15.7125392304655
2026-04-02,ANDR.VI,EUR,13.1039602362586
2026-04-02,ARGX.BR,EUR,38.1585091858282
2026-04-02,BARC.L,GBp,9.6816599161515
2026-04-02,BC8G.DE,EUR,16.2055488062975
2026-04-02,BCP.LS,EUR,10.224692526017
2026-04-02,BMEB.L,GBp,7.43044057666681
2026-04-02,BTRW.L,GBp,17.7492137289758
2026-04-02,CAST.ST,SEK,59.274005052866
2026-04-02,CRDA.L,GBp,64.8352638932708
2026-04-02,CTEC.L,GBp,33.8734564774308
2026-04-02,DLG.MI,EUR,14.5858318323046
2026-04-02,ERST.VI,EUR,11.4275721448982
2026-04-02,ESSITYb.ST,SEK,13.3257777044715
2026-04-02,EZJ.L,GBp,5.78748694883945
2026-04-02,FRAG.DE,EUR,16.392319272271
2026-04-02,GBFG.DE,EUR,21.8481352499559
2026-04-02,GRLS.MC,EUR,15.6410910017844
2026-04-02,INCH.L,GBp,10.8412956704357
2026-04-02,JMAT.L,GBp,
2026-04-02,KSP.I,EUR,19.7573600248192
2026-04-02,LEGD.PA,EUR,29.3019686957121
2026-04-02,LIFCOb.ST,SEK,34.3886694961247
2026-04-02,METSO.HE,EUR,25.7856154201056
2026-04-02,MICCT.AS,EUR,25.901000062897
2026-04-02,MKS.L,GBp,378.502673796792
2026-04-02,NEKG.DE,EUR,34.4433518484067
2026-04-02,PERP.PA,EUR,11.2385398814799
2026-04-02,QQ.L,GBp,
2026-04-02,RENA.PA,EUR,
2026-04-02,REY.MI,EUR,12.191371094638
2026-04-02,SABE.MC,EUR,12.8363955970368
2026-04-02,SAND.ST,SEK,31.3031027150145
2026-04-02,SAVE.ST,SEK,25.9093662951468
2026-04-02,SIKA.S,CHF,20.2059965985035
2026-04-02,SKAb.ST,SEK,17.386757304399
2026-04-02,SOPR.PA,EUR,8.18887869769774
2026-04-02,SPX.L,GBp,31.2984421240209
2026-04-02,SUN.S,CHF,19.4862317155945
2026-04-02,UNPI.MI,EUR,9.94702339195433
2026-04-02,VACN.S,CHF,68.506573495487
2026-04-02,VNAn.DE,EUR,5.19728099409305
2026-04-02,WIHL.ST,SEK,12.151669452434
2026-04-02,ZALG.DE,EUR,26.0617041872471
2026-04-07,ABNd.AS,EUR,11.3374429354145
2026-04-07,ACLN.S,CHF,37.2796674657307
2026-04-07,AIRP.PA,EUR,29.7582450013526
2026-04-07,AKZO.AS,EUR,13.2263791104003
2026-04-07,ALEP.WA,PLN,16.3054567939403
2026-04-07,AMBUb.CO,DKK,31.5519139048551
2026-04-07,ANA.MC,EUR,15.6175584233729
2026-04-07,ANDR.VI,EUR,13.0178915319154
2026-04-07,ARGX.BR,EUR,38.4299254801518
2026-04-07,BARC.L,GBp,9.6117861626282
2026-04-07,BC8G.DE,EUR,16.1945545398075
2026-04-07,BCP.LS,EUR,10.3098391674551
2026-04-07,BMEB.L,GBp,7.20833501595122
2026-04-07,BTRW.L,GBp,17.1680568849993
2026-04-07,CAST.ST,SEK,59.0376443769795
2026-04-07,CRDA.L,GBp,65.1282282417632
2026-04-07,CTEC.L,GBp,33.1783740263099
2026-04-07,DLG.MI,EUR,14.954954954955
2026-04-07,ERST.VI,EUR,11.4518602897333
2026-04-07,ESSITYb.ST,SEK,13.2386811181678
2026-04-07,EZJ.L,GBp,5.73769175166653
2026-04-07,FRAG.DE,EUR,16.2103013574254
2026-04-07,GBFG.DE,EUR,21.911956482429
2026-04-07,GRLS.MC,EUR,15.375987764466
2026-04-07,INCH.L,GBp,10.7091695525792
2026-04-07,JMAT.L,GBp,
2026-04-07,KSP.I,EUR,19.498827076836
2026-04-07,LEGD.PA,EUR,29.237308227829
2026-04-07,LIFCOb.ST,SEK,34.9889080909662
2026-04-07,METSO.HE,EUR,25.4096819944977
2026-04-07,MICCT.AS,EUR,26.039373545506
2026-04-07,MKS.L,GBp,365.454545454546
2026-04-07,NEKG.DE,EUR,33.460015414463
2026-04-07,PERP.PA,EUR,11.2278399069816
2026-04-07,QQ.L,GBp,
2026-04-07,RENA.PA,EUR,
2026-04-07,REY.MI,EUR,12.0204987392592
2026-04-07,SABE.MC,EUR,12.840580923283
2026-04-07,SAND.ST,SEK,31.6192093745275
2026-04-07,SAVE.ST,SEK,26.0955211150335
2026-04-07,SIKA.S,CHF,19.813871093738
2026-04-07,SKAb.ST,SEK,17.4448584148564
