Date,RIC,Earnings Per Share - Mean
2019-10-11,PIRC.MI,0.54213
2019-10-11,HOCM.L,0.122
2019-10-18,PIRC.MI,0.542
2019-10-21,PIRC.MI,0.5395
2019-10-22,PIRC.MI,0.53638
2019-10-23,HOCM.L,0.1245
2019-10-24,HOCM.L,0.12356
2019-10-24,VATN.S,7.5545
2019-10-25,PIRC.MI,0.53659
2019-10-25,BFT.WA,28.27667
2019-10-28,PIRC.MI,0.53306
2019-10-30,PIRC.MI,0.52019
2019-10-31,PIRC.MI,0.51138
2019-11-01,PIRC.MI,0.50888
2019-11-06,PIRC.MI,0.50444
2019-11-07,PIRC.MI,0.50194
2019-11-13,VATN.S,7.3195
2019-11-15,PIRC.MI,0.49944
2019-11-19,HOCM.L,0.12467
2019-11-22,HOCM.L,0.12356
2019-11-26,HOCM.L,0.12244
2019-12-05,HOCM.L,0.12122
2019-12-05,BFT.WA,28.27667
2019-12-17,HOCM.L,0.12011
2019-12-18,HOCM.L,0.11789
2019-12-22,BFT.WA,28.455
2020-01-03,HOCM.L,0.11678
2020-01-06,PIRC.MI,0.49631
2020-01-07,BFT.WA,32.43667
2020-01-13,VATN.S,7.41967
2020-01-15,HOCM.L,0.12122
2020-01-16,HOCM.L,0.12344
2020-01-21,BFT.WA,32.43667
2020-01-26,BFT.WA,35.1
2020-01-27,HOCM.L,0.12344
2020-01-29,BFT.WA,36.59667
2020-02-03,HOCM.L,0.12011
2020-02-04,VATN.S,7.41067
2020-02-04,VATN.S,7.418
2020-02-10,PIRC.MI,0.49131
2020-02-10,HOCM.L,0.11678
2020-02-11,HOCM.L,0.11122
2020-02-12,BFT.WA,42.1825
2020-02-12,PIRC.MI,0.49194
2020-02-12,BFT.WA,36.11
2020-02-13,PIRC.MI,0.49256
2020-02-14,PIRC.MI,0.48819
2020-02-17,PIRC.MI,0.48881
2020-02-17,PIRC.MI,0.48531
2020-02-18,VATN.S,7.57467
2020-02-19,HOCM.L,0.1378
2020-02-20,PIRC.MI,0.48338
2020-02-20,HOCM.L,0.1338
2020-02-24,PIRC.MI,0.48025
2020-02-25,VATN.S,7.47533
2020-02-26,HOCM.L,0.1308
2020-03-02,HOCM.L,0.1418
2020-03-03,PIRC.MI,0.47506
2020-03-04,PIRC.MI,0.47381
2020-03-04,HOCM.L,0.1478
2020-03-04,VATN.S,7.72867
2020-03-05,PIRC.MI,0.47231
2020-03-06,HOCM.L,0.1498
2020-03-10,PIRC.MI,0.47044
2020-03-12,HOCM.L,0.1498
2020-03-13,HOCM.L,0.1516
2020-03-17,PIRC.MI,0.47244
2020-03-18,PIRC.MI,0.46744
2020-03-18,HOCM.L,0.1496
2020-03-19,PIRC.MI,0.45619
2020-03-19,HOCM.L,0.1446
2020-03-20,HOCM.L,0.1416
2020-03-23,PIRC.MI,0.44994
2020-03-25,PIRC.MI,0.44556
2020-03-25,HOCM.L,0.1336
2020-03-26,PIRC.MI,0.43619
2020-03-27,HOCM.L,0.1239
2020-03-30,PIRC.MI,0.42127
2020-04-01,PIRC.MI,0.40707
2020-04-01,HOCM.L,0.1249
2020-04-02,PIRC.MI,0.3924
2020-04-03,PIRC.MI,0.38307
2020-04-06,PIRC.MI,0.358
2020-04-07,HOCM.L,0.1259
2020-04-08,PIRC.MI,0.33879
2020-04-09,PIRC.MI,0.29129
2020-04-15,PIRC.MI,0.2932
2020-04-15,HOCM.L,0.1239
2020-04-16,HOCM.L,0.1199
2020-04-17,HOCM.L,0.1183
2020-04-22,HOCM.L,0.0903
2020-04-23,PIRC.MI,0.27487
2020-04-23,HOCM.L,0.0854
2020-04-27,PIRC.MI,0.25353
2020-04-30,HOCM.L,0.0874
2020-05-04,HOCM.L,0.0904
2020-05-06,PIRC.MI,0.25487
2020-05-07,PIRC.MI,0.25393
2020-05-13,PIRC.MI,0.23543
2020-05-13,VATN.S,7.51867
2020-05-14,PIRC.MI,0.24933
2020-05-15,PIRC.MI,0.249
2020-05-15,HOCM.L,0.0791
2020-05-17,BFT.WA,45.84333
2020-05-21,PIRC.MI,0.24767
2020-05-25,PIRC.MI,0.26425
2020-05-28,PIRC.MI,0.26725
2020-05-29,HOCM.L,0.0801
2020-05-30,HOCM.L,0.0811
2020-06-08,HOCM.L,0.0711
2020-06-09,PIRC.MI,0.26394
2020-06-16,BFT.WA,45.84333
2020-06-18,HOCM.L,0.0701
2020-06-19,PIRC.MI,0.27153
2020-06-22,PIRC.MI,0.2722
2020-06-23,PIRC.MI,0.2702
2020-06-25,HOCM.L,0.064
2020-06-25,BFT.WA,45.84333
2020-06-28,PIRC.MI,0.2795
2020-06-30,PIRC.MI,0.2722
2020-07-01,PIRC.MI,0.2702
2020-07-03,VATN.S,7.3415
2020-07-06,HOCM.L,0.057
2020-07-06,BFT.WA,44.38
2020-07-07,BFT.WA,43.79
2020-07-08,HOCM.L,0.039
2020-07-10,PIRC.MI,0.26753
2020-07-13,PIRC.MI,0.26153
2020-07-13,HOCM.L,0.034
2020-07-15,HOCM.L,0.036
2020-07-16,HOCM.L,0.0458
2020-07-17,HOCM.L,0.0498
2020-07-20,HOCM.L,0.06422
2020-07-23,PIRC.MI,0.25287
2020-07-24,VATN.S,7.2715
2020-07-27,PIRC.MI,0.21313
2020-07-29,HOCM.L,0.07133
2020-08-04,PIRC.MI,0.21127
2020-08-05,HOCM.L,0.08022
2020-08-05,BFT.WA,43.79
